Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.0,R,73.0,69.0,28.99,10.0,NW,13.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,69.0,93.0,28.99,4.0,SW,3.0,0.42,Rain,False,False,Night,tertiary,False,4,35,Major below 75
0.0,R,73.0,76.0,29.22,10.0,VAR,3.0,0.0,Fair,False,True,Day,tertiary,False,4,35,Major below 75
0.0,R,90.0,46.0,29.06,10.0,SW,8.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,74.0,94.0,28.91,10.0,NW,9.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
6.17999982834,R,71.0,98.0,28.97,2.0,CALM,0.0,0.0,Fog,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,64.0,49.0,29.14,10.0,N,10.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,69.0,80.0,28.74,10.0,NW,15.0,0.0,Cloudy,False,False,Day,tertiary,False,4,35,Major below 75
0.0,R,78.0,49.0,28.89,10.0,SE,12.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
5.94000005722,R,47.0,100.0,29.06,10.0,CALM,0.0,0.0,Fair,False,False,Day,tertiary,False,4,35,Major below 75
0.01,R,39.9,86.0,29.54,3.0,N,18.4,0.05,Rain,False,False,Night,secondary,False,2,25,Major 125 to 250
0.01,R,33.1,89.0,29.56,0.8,N,25.3,0.1,Snow,False,False,Night,secondary,False,2,25,Major 125 to 250
0.01,R,32.0,88.0,29.3,1.0,N,26.5,0.0,Snow,False,False,Day,secondary,False,2,25,Major 125 to 250
2.2699999809299998,R,32.0,88.0,29.65,1.8,NE,17.3,0.01,Snow,False,False,Day,secondary,False,2,25,Major 125 to 250
0.0,R,24.1,84.0,29.55,0.8,N,18.4,0.01,Snow,False,False,Night,secondary,False,2,25,Major 125 to 250
0.0,R,25.0,75.0,29.44,2.0,NW,25.3,0.0,Snow,False,False,Day,secondary,False,2,25,Major 125 to 250
2.2699999809299998,R,25.0,88.0,29.96,0.5,NW,6.9,0.01,Snow,False,False,Day,secondary,False,2,25,Major 125 to 250
0.0,R,49.0,97.0,28.93,5.0,NE,7.0,0.04,Rain,False,False,Night,primary,True,2,55,Major below 75
10.6000003815,R,82.0,69.0,29.53,10.0,SW,7.0,0.0,Fair,False,False,Night,tertiary,False,2,45,Major 75 to 125
0.0,R,44.1,96.0,29.89,4.0,E,5.8,0.02,Rain,False,False,Day,tertiary,False,2,45,Major 75 to 125
0.77,R,24.1,62.0,30.54,2.0,NW,20.7,0.0,Snow,False,False,Day,residential,False,2,25,Major above 250
0.77,R,24.1,62.0,30.54,2.0,NW,20.7,0.0,Snow,False,False,Day,tertiary,False,3,25,Major 75 to 125
0.40000000596,L,37.0,82.0,29.92,1.0,N,15.0,0.0,Drizzle,False,True,Day,residential,False,2,25,Major above 250
0.40000000596,L,37.0,82.0,29.92,1.0,N,15.0,0.0,Drizzle,False,True,Day,tertiary,False,3,25,Major 75 to 125
0.0,R,57.0,74.0,30.0,10.0,SW,6.0,0.0,Fair,False,False,Day,residential,False,2,35,Major 125 to 250
0.0,R,57.0,74.0,30.0,10.0,SW,6.0,0.0,Fair,False,False,Day,residential,False,2,25,Major below 75
0.28,R,36.0,73.0,29.17,10.0,CALM,0.0,0.0,Cloudy,True,False,Night,residential,False,2,35,Major 125 to 250
0.28,R,36.0,73.0,29.17,10.0,CALM,0.0,0.0,Cloudy,True,False,Night,residential,False,2,25,Major below 75
0.28,R,70.0,71.0,29.39,10.0,NW,7.0,0.0,Fair,True,False,Day,residential,False,2,35,Major 125 to 250
0.28,R,70.0,71.0,29.39,10.0,NW,7.0,0.0,Fair,True,False,Day,residential,False,2,25,Major below 75
0.28,R,61.0,93.0,29.08,4.0,SW,3.0,0.08,Rain,True,False,Day,residential,False,2,35,Major 125 to 250
0.28,R,61.0,93.0,29.08,4.0,SW,3.0,0.08,Rain,True,False,Day,residential,False,2,25,Major below 75
